SANGER SAMPLE ID	SUPPLIER SAMPLE NAME	Organ	Sequencing	Passed	AnnatomicalPart
FCAImmP7179363	F21_LI_CD45P	liver	normal	TRUE	Random
FCAImmP7179364	F21_LI_CD45N	liver	normal	TRUE	Random
FCAImmP7179365	F21_SP_CD45P	spleen	normal	TRUE	Whole
FCAImmP7179366	F21_SP_CD45N	spleen	normal	TRUE	Whole
FCAImmP7179367	F21_BM_CD45P	boneMarrow	normal	TRUE	Femur
FCAImmP7179368	F21_BM_CD45N	boneMarrow	normal	TRUE	Femur
FCAImmP7179369	F21_TH_CD45P	thymus	normal	TRUE	Whole
FCAImmP7179370	F21_TH_CD45N	thymus	normal	TRUE	Whole
FCAImmP7198432	F22_TH_TOT	thymus	normal	TRUE	Whole
FCAImmP7198433	F22_SP_TOT	spleen	normal	TRUE	Whole
FCAImmP7198434	F22_LI_TOT	liver	normal	TRUE	Random
FCAImmP7198435	F22_YS_TOT	yolk_sac	normal	TRUE	Contents
FCAImmP7198628	F22_LI_CD45P	liver	normal	TRUE	Random
FCAImmP7198629	F22_LI_CD45N	liver	normal	TRUE	Random
FCAImmP7198630	F23_LI_CD45P	liver	normal	TRUE	Random
FCAImmP7198631	F23_LI_CD45N	liver	normal	TRUE	Random
FCAImmP7198632	F23_SP_CD45P	spleen	normal	TRUE	Whole
FCAImmP7198633	F23_SP_CD45N	spleen	normal	TRUE	Whole
FCAImmP7198634	F23_TH_CD45P	thymus	normal	TRUE	Whole
FCAImmP7198635	F23_TH_CD45N	thymus	normal	TRUE	Whole
FCAImmP7241240	F19_Skin_CD45P	skin	normal	TRUE	Random
FCAImmP7241241	F19_Skin_CD45N	skin	normal	TRUE	Random
FCAImmP7241242	F19_Liver_CD45P	liver	normal	FALSE	Random
FCAImmP7241243	F19_Liver_CD45N	liver	normal	FALSE	Random
FCAImmP7277552	F29_LI_CD45P	liver	normal	TRUE	Random
FCAImmP7277553	F29_LI_CD45N	liver	normal	TRUE	Random
FCAImmP7277554	F29_SP_CD45P	spleen	normal	TRUE	Whole
FCAImmP7277555	F29_SP_CD45N	spleen	normal	TRUE	Whole
FCAImmP7277556	F29_TH_CD45P	thymus	normal	TRUE	Whole
FCAImmP7277557	F29_TH_CD45N	thymus	normal	TRUE	Whole
FCAImmP7277558	F29_BM_CD45P	boneMarrow	normal	TRUE	Femur
FCAImmP7277559	F29_BM_CD45N	boneMarrow	normal	TRUE	Femur
FCAImmP7292941	F29_LI_TOT	liver	VDJT	TRUE	Random
FCAImmP7292942	F29_SP_TOT	spleen	VDJT	TRUE	Whole
FCAImmP7292943	F29_TH_TOT	thymus	VDJT	TRUE	Whole
